名称,百度坐标
人南立交桥底层南北向两侧隧道,"104.073489,30.626309"
人南立交桥南出口（出城）下桥处两端,"104.073504,30.625594"
衣冠庙立交桥下进出城辅道,"104.058696,30.640693"
洗面桥巷,"104.05961,30.645043"
武兴路与金兴南路交叉口（前景市场路口）,"103.981001,30.624005"
玉林中路,"104.064807,30.633525"
金江路,"103.96983,30.617051"
武侯大道顺江段与武青南路交叉口（优博国际路口）,"103.991659,30.628814"
宝成线金新路下穿,"104.122132,30.781805"
豆腐堰下穿,"104.086408,30.70312"
铁西线互助泵站2（拉菲下穿）,"104.003306,30.724321"
盛发街下穿,"104.016875,30.738418"
五福桥下穿,"104.069071,30.716106"
古柏路量力D区下穿,"104.058134,30.746092"
羊犀立交,"104.013519,30.707133"
宝成线川建下穿,"104.07292,30.739117"
三环成彭立交→交大立交（欢乐谷一号门）,"104.04571,30.726219"
聚虹路药材市场,"104.092445,30.797065"
金周路,"104.002506,30.727399"
隆安路,"104.108812,30.755911"
盛安街,"104.024901,30.737518"
西华大道与盛兴路路口,"104.025018,30.739687"
金芙蓉大道与利民路路口（保利城门口）,"104.091286,30.756117"
天回镇万石路与一帆大道交汇处（天歌路）,"104.109288,30.771927"
北星大道一段与天龙路口,"104.082437,30.770625"
凤凰立交外侧桥下绿化带出城方向,"104.082765,30.729921"
拥军路,"104.089503,30.729766"
兴盛村委会门口斜对面（万达七中路口）,"104.027991,30.737006"
清水河马家场旧桥右侧电杆处,"103.968447,30.719781"
三环成渝、航天、娇子、琉璃立交桥下,"104.158371,30.640508"
三环路经天东路口,"104.116052,30.601937"
锦绣大道金石路（地图上是锦江大道）,"104.094443,30.591752"
成龙大道许燎原博物馆门口,"104.161749,30.588609"
锦江大道潘家沟,"104.122403,30.59202"
三环路茶花街路口,"104.143253,30.611098"
锦江大道包江桥路口,"104.099218,30.592024"
成龙路枫香街路口,"104.14129,30.601094"
成龙路56路公交总站处,"104.167098,30.585457"
锦华路青龙正街饭店路口,"104.10498,30.611234"
金马河路口,"104.155007,30.637933"
成温邛辅道涵洞,"103.938773,30.701374"
日月大道铁路下穿,"103.987841,30.679414"
IT铁路下穿,"103.985715,30.698005"
武青北路下穿,"103.989151,30.667312"
苏坡立交桥下,"103.997089,30.679472"
成飞医院路口,"103.971572,30.698241"
光华北三路鹏瑞利广场,"103.969596,30.676106"
瑞联东路,"103.974541,30.688964"
大庆路,"104.037741,30.677236"
清江东路,"104.038501,30.674762"
纬一路,"103.97468,30.705197"
光华东三路,"103.974613,30.67762"
纬六路,"103.974541,30.701117"
纬二路,"103.970737,30.704172"
老城黄路黄田坝路段,"103.990741,30.688957"
清风街河边,"104.015055,30.65908"
柿子巷,"104.058519,30.668045"
蜀都干道柿子巷路口,"104.059018,30.667044"
龙青环线下穿,"104.174288,30.713731"
龙潭E线下穿,"104.163624,30.68844"
成金青下穿,"104.160696,30.696359"
蜀龙路五期下穿,"104.145927,30.699425"
青龙立交猫儿洞下穿,"104.1126,30.702677"
川陕立交内侧下桥处,"104.116316,30.723996"
鹤林四路,"104.181394,30.707626"
华裕路与航天路口,"104.188832,30.695524"
成济路与华彩路口,"104.182396,30.692275"
昆阳路下穿,"104.049074,30.594446"
百草路绕城下穿,"103.953144,30.761544"
西区大道绕城下穿,"103.954657,30.763572"
剑南天府五街下穿,"104.052837,30.54412"
天府立交桥下三环路内侧,"104.073916,30.604401"
中环路科园大道段,"104.040958,30.622503"
成自泸高架绕城桥下,"104.118408,30.529124"
天府三街升华路到天府大道路段,"104.074443,30.552888"
大件路白家桥头,"104.032858,30.587394"
合院毛家桥路口,"103.923923,30.751753"
西区大道天虹路口,"103.966709,30.757551"
剑南大道锦城大道,"104.052767,30.581488"
天府大道天府五街路口,"104.076015,30.541602"
中和大道三利宅院,"104.091942,30.548472"
世纪城路世纪城6号通道,"104.086565,30.56034"
天府三街富华南路,"104.046622,30.552927"
梓州大道观东二街,"104.087962,30.534798"
梓州大道观东三街,"104.087971,30.532033"
双柏东一路尚丰路口,"103.932483,30.792507"
红星路南延线与迎江路口,"104.095535,30.552853"
新上街与朝阳横街路口,"104.09823,30.572661"
新川路梓州大道往天府大道路段,"104.082285,30.52251"
绕城高速成龙收费站,"104.172331,30.582273"
天府大道与老成仁路（蔚蓝卡地亚）下穿,"104.077623,30.488488"
梓洲大道与香山小区下穿,"104.089714,30.467997"
剑南大道牧华立交桥下,"104.038964,30.491829"
剑南大道沈阳路立交桥下,"104.034221,30.477628"
梓洲大道武汉路立交桥下,"104.102429,30.449881"
正北下街水印城路段,"104.07296,30.522965"
剑南大道牧华立交出城方向,"104.039415,30.494"
华府大道一段光明城市,"104.064224,30.53304"
和韵南路333号门前路段,"104.114112,30.48798"
麓山大道一段检察官学院,"104.094089,30.491084"
天府大道南段怡丰路口,"104.076468,30.525715"
东山大道三星龙星村2组（村道）,"104.138596,30.313601"
武汉路浅水湾前路段,"104.041753,30.453652"
北泉路东公元,"104.235949,30.580738"
桃都大道书房村地铁站路口,"104.248678,30.581499"
318国道老成渝路飞龙湖路段路基沉陷,"104.290103,30.560076"
318国道大田坝水库路段因道路塌方,"104.343449,30.530871"
淮洛路K28路段(万兴往清水路段)路基沉陷,"104.416805,30.664429"
茶店镇茶石路往318国道500米处路基轻微沉陷,"104.360845,30.51336"
龙都北路聚和市场（红沙坡）,"104.31142,30.593375"
成龙大道绕城入口（车城西五路）,"104.178624,30.579797"
驿都大道科技职工大学,"104.19173,30.592206"
驿都大道龙城大道,"104.203835,30.586583"
驿都大道川雅木业（驿都大道车城大道）,"104.221131,30.581387"
驿都大道行政学院,"104.177999,30.602219"
惠王陵东路川师大北门,"104.170436,30.621606"
洪河大道省医院东病区门前,"104.17031,30.634886"
成洛大道宝胜村路口,"104.291047,30.652554"
十陵明蜀路成都大学,"104.201674,30.656173"
十陵江华路灵龙路,"104.192026,30.658421"
十陵梁平路,"104.20785,30.656453"
青白江大道祥福铁路跨线下穿,"104.287121,30.842529"
唐军路铁路立交桥,"104.205789,30.891104"
通站路,"104.268679,30.867561"
华金大道与青白江大道交叉路口,"104.31232,30.870538"
清泉镇花园十组村道,"104.138596,30.313601"
清泉镇五爱二组花五路村道,"104.4223,30.764707"
老大石路梁湾村一处河堤塌方,"104.287263,30.770646"
绕城立交桥三河站,"104.136038,30.782293"
成青路石木路口,"104.205354,30.745454"
惠民路老检测线处,"104.147946,30.78692"
香洲半岛,"104.170658,30.798172"
蜀龙学校往漫花庄园方向辅道,"104.14745,30.771405"
惠民路往货运大道垃圾回收站,"104.141764,30.82023"
佳乐国际城小区入口,"104.165681,30.791341"
货运大道中石油处,"104.132358,30.797085"
三河酒店用品城,"104.133189,30.789154"
三河流溪苑,"104.132543,30.779352"
泡菜园区新繁大道,"103.999784,30.893503"
会展大道与阳光林森路,"104.029066,30.847219"
新繁镇汇香路,"103.995265,30.896767"
赵家寺路,"104.073763,30.77792"
方元路与敬成路,"104.070745,30.777815"
南丰大道铁路桥洞,"104.075689,30.748095"
中汽大道,"104.074499,30.749601"
海科路,"103.817743,30.678162"
天乡路,"103.84596,30.731179"
北出口,"103.842275,30.717756"
永文路,"103.919082,30.718851"
七星街,"103.901533,30.679612"
万科,"103.897891,30.685381"
温泉大道与杨柳河路交叉口,"103.897891,30.685381"
三渡水大桥,"103.788771,30.67732"
西航港大道成双大道下穿,"103.964368,30.603634"
腾飞三路平桥成雅桥下,"103.987728,30.519797"
黄荆路成雅高速桥下,"104.034202,30.577346"
川大路与长城路口路口,"103.997201,30.556287"
腾飞五路与黄甲大道路口,"103.965809,30.52117"
蜀信路清马路下穿隧道,"103.902173,30.785102"
安靖火车站下穿,"104.044265,30.74393"
沙西线古城下穿匝道（成都至都江堰方向）,"103.92144,30.901673"
沙西线五月花学校段,"103.967373,30.824244"
郫筒社区398路口,"103.900041,30.808419"
犀浦社区华都大道（万福一街、万福三街）,"104.001554,30.745015"
德源红旗大道文明街路口,"103.858345,30.776781"
郫温路蜀信路口,"103.872583,30.799636"
安靖镇海霸王路,"104.026335,30.757252"
安靖镇阳光南路,"104.039068,30.745307"
灌天路驾青路口下穿隧道,"103.741023,30.991218"
新106线青正街延伸线下穿隧道,"103.615938,30.9063"
邛陶路,"103.45923,30.4122"
邛窑大道,"103.452637,30.402634"
金桂二街,"103.482944,30.411301"
南江路（天关路口至东二段路口）,"103.505707,30.403772"
河滨路C段,"103.494934,30.391956"
邛芦路马湖段,"103.359154,30.419755"
邛芦路镇西山段,"103.305467,30.453652"
唐安东路与江源北路路口,"103.697481,30.638616"
滨河路晚渡广场段,"103.665656,30.638772"
蜀州北路文化西街路口,"103.676214,30.641058"
天庆街与龙门北街路口,"103.673335,30.635743"
世纪广场路口,"103.676953,30.650075"
成达铁路下穿隧道,"104.496536,30.644178"
滨江路五横道路口,"104.411558,30.864886"
泰吉街,"104.430824,30.860666"
十里大道三横道口,"104.421692,30.86539"
十里大道4.5横道金泉丽都门口中河二桥红绿灯路口,"104.41665,30.866932"
新县医院红绿灯路口,"104.426306,30.88266"
金川路至金凤路,"104.401471,30.852479"
学府大道与兰家店路口,"104.467458,30.855404"
兰家店路与南北干道路口,"104.455293,30.858509"
北河二桥（棕榈湖路面）,"104.452119,30.856168"
三星天意学院与文理学院中间,"104.470285,30.855139"
兴业路与文达路交叉口,"104.459896,30.858089"
金堂大道汤家沟二号大桥（三星至赵家方向）,"104.517401,30.84217"
金堂大道（三星至起家方向）3公里处,"104.477719,30.852448"
S101长乐村24组路段,"104.574152,30.869526"
毗河大桥,"104.415888,30.861742"
滨江路毗河桥头,"104.416494,30.8634"
毗河中段（耍都）,"104.417094,30.861466"
金沙公园内,"104.405373,30.86215"
省道106县西南酒精厂路口,"103.51108,30.190769"
大溪谷涵洞,"103.517036,30.190515"
工业大道与清江大道十字路口,"103.528598,30.207883"
战北路与大北街交叉路口,"103.514064,30.206927"
白云乡村道,"103.42971,30.131962"
长秋乡村道,"103.635681,30.23457"
成雅高速路普兴路口,"103.907252,30.407674"
江山多娇涵洞,"103.806386,30.420191"
兴园5路与S103交界路口,"103.807701,30.421368"
新蒲路老码头路口,"103.810315,30.405732"
G321线 新市铁路桥下,"104.575987,30.35592"
G318线 石桥铁路桥下,"104.534561,30.434806"
医院路,"104.557279,30.391122"
建设西路,"104.651118,30.124708"
新市工业园区,"104.586168,30.343307"
雄州大道（新东南酒店门口）,"104.538836,30.424904"
龙颈路,"104.580182,30.455184"
金马镇翻身村五组,"104.765216,30.473514"
金马镇胜利村一组,"104.682807,30.443195"
金马镇玉泉村三组,"104.796808,30.482204"
普安乡（螺简线33km）,"104.671941,30.411935"
新星乡平江村六队,"104.508252,30.427101"
G318线 2409KM+100M(回龙寺),"104.508252,30.427101"
安石路（胖哥鱼庄外）,"104.541984,30.408592"
雄州大道Y型路口,"104.562538,30.403737"
爱晚中心附近有落石,"104.561665,30.412542"
新星乡金盆庙一社,"104.657154,30.603836"
新星乡周家湾一社,"104.633958,30.511131"
新星乡周家湾三社,"104.636212,30.512185"
石盘工业园区南北道(滨湖城外),"104.439224,30.490589"
平泉镇胜华村道,"104.653865,30.331681"
简阳市养马-周家500M,"104.512288,30.500206"
大邑大道与天新大快速路连接便道,"103.537256,30.565846"
三环路东段铁路立交桥下,"103.980471,30.969688"
牡丹大道铁路立交桥下,"103.969122,30.972657"
天彭大道铁路立交桥下,"103.950946,30.97607"
泰安北路延秀小学路段,"103.958149,30.999742"