lng,lat,count
11865650,3621850,1
12620850,4775450,1
11577650,3580150,2
12044950,3734550,1
11584250,3551250,1
11597050,3563050,2
12134750,4042650,1
11578050,3569450,1
11584650,3569150,1
11565450,3566650,1
11591050,3559250,2
11584750,3565750,2
11699950,3622750,1
11616750,3568650,1
11572050,3581150,1
11584850,3576250,1
12852050,3294050,1
11501650,3503850,1
11623350,3593150,1
11616950,3593650,1
11585150,3560150,1
11604350,3556850,39
11572450,3555350,1
11598050,3553650,1
11591650,3569850,1
11604450,3556550,85
11591750,3550550,1
11822250,3843550,1
11604750,3559750,1
11732750,3598750,1
11783950,3796850,1
9742450,5430350,1
11604950,3559450,4
11585850,3566850,2
11605050,3548250,6
11586050,3564550,16
11586150,3572250,1
12693350,2623750,1
11599050,3556150,12
11528650,3410750,1
11746250,3633150,1
11797450,3688550,2
11599150,3572850,1
11733650,3638550,1
11605750,3549650,1
11599450,3555650,5
11612250,3558450,1
11605850,3556050,61
11599550,3552150,3
11881150,3315750,1
11606050,3548550,1
11586950,3566150,3
11798150,3685650,1
13090950,4723350,1
11651050,3670650,1
11542250,3564450,1
11875050,3541850,1
11587250,3561250,3
11587250,3551150,1
11606550,3549850,2
11581050,3571050,2
11606650,3555450,20
11606650,3556650,52
11574750,3570450,1
11600450,3575150,1
11568650,3597750,1
11434350,2859450,1
11575250,3555850,1
11581650,3564050,1
11607350,3550250,1
11850550,3422150,2
11581850,3560350,2
11607450,3554250,35
11549950,3904650,1
11575550,3571250,1
11575550,3588950,1
11972350,3056450,1
11421950,2854750,1
11543550,3562850,1
11588450,3561450,1
12766050,4593150,2
13009250,4644150,1
11594850,3563250,3
13079650,4689550,1
11582150,3568450,1
11588650,3573450,1
11588650,3561450,1
11601450,3554550,1
11601450,3556750,5
11607850,3556250,1
11300650,3090950,1
11607950,3558750,1
12785550,3984950,1
11576150,3565950,2
11601750,3555750,3
11627350,3591950,1
11531350,3449150,1
11557050,3571650,1
11569850,3577950,1
11582650,3554750,1
11589150,3568650,1
11493150,3464450,1
11595550,3552850,1
12011650,4160250,1
11595650,3560450,1
13515750,3629750,1
11602250,3545750,1
11557450,3569650,2
11583050,3547950,2
11602350,3557050,3
11608750,3554050,28
11608850,3554750,25
12959350,4833150,1
11583350,3585550,1
11596150,3572250,1
11608950,3571150,1
11577050,3569250,2
11589950,3572450,1
11602850,3555250,1
11609250,3565750,5
11602950,3549850,3
11596550,3555850,3
11590250,3576250,3
11654250,3490550,1
11603150,3556150,3
11596750,3572350,1
11584050,3570150,2
11584150,3562550,2
11603350,3561150,1
11603450,3552950,10
11872350,3449650,1
11405250,2849550,1
11821250,3594250,2
11635850,3537150,1
11597650,3571850,1
11700050,3657950,1
11828150,3603050,1
11585050,3567150,1
11834650,3429350,1
12858650,4342250,1
11572350,3546850,1
11598050,3555250,27
13940450,5407950,1
13217250,3954050,1
13422150,3654750,1
11591850,3574450,1
10247850,3243650,1
11585550,3568850,2
12110450,4047450,1
11636950,3316450,1
11470650,3486750,1
11585950,3566850,1
11598850,3557850,11
12130050,4053150,1
11611750,3557650,1
11394150,2853350,1
11579750,3564850,1
11810250,3582150,1
12725550,4240350,1
11573650,3561650,1
11580250,3561350,1
11605850,3580350,1
11669850,3404550,1
11695550,3657850,1
11580550,3545950,1
11580650,3563550,1
11606250,3557950,2
11663950,3401050,1
11606350,3555950,63
9974450,3343850,1
11516850,3561850,1
11593750,3581850,2
11862650,3421850,1
11517150,3554550,1
11593950,3561050,1
11606750,3554150,19
11600550,3554850,5
11696550,3426950,1
8854950,5026250,1
11600650,3595650,2
11600650,3545250,1
11587950,3551150,1
11607150,3548650,1
11600850,3558550,1
11722450,3628050,1
13188150,3875250,1
11575350,3570850,1
11588150,3549850,1
11600950,3547450,24
11600950,3563450,7
11562750,3507050,1
11588350,3552550,1
11581950,3571850,1
11601350,3549550,3
11588650,3571150,2
11607850,3550950,1
11774250,3508150,1
11588750,3575050,3
11665550,3478650,1
12907150,3294750,1
11768050,4672350,4
11608050,3596650,1
11672050,3451550,1
11812850,3586550,1
11966450,3056750,1
11614550,3577850,1
12433750,3360650,1
11595350,3564050,1
11589050,3562950,1
11608250,3557950,5
11621050,3620150,1
11563550,3588050,1
11557150,3571150,1
11582850,3559650,1
11704650,3619650,1
11608650,3559350,2
11583250,3552750,2
11602550,3568950,1
11487550,3499150,1
11602750,3557950,3
11596350,3572550,1
12345250,3942050,1
11609250,3606250,1
11602950,3552950,1
11602950,3550950,2
11871850,3541450,1
11871850,3055750,1
11603150,3511250,2
11609550,3559350,1
11596850,3572550,1
11603350,3548450,1
11590650,3580850,1
11584450,3561250,1
11968450,3639850,1
11603750,3554950,1
11559050,3572950,1
11783050,3796850,1
11962250,3054450,1
11584850,3560150,1
11597750,3551750,1
11572350,3575750,3
11597950,3558650,2
11597950,3554650,1
11610750,3609450,1
11572450,3554350,2
11585350,3575850,2
10145350,3441950,2
11585550,3565850,1
11598450,3556450,3
11662450,3671850,1
13198550,3714850,1
13057750,4705250,1
13422550,3655450,1
13102550,4725950,1
11560250,3459650,1
11573050,3580050,2
11585850,3542750,1
11790650,3487450,1
12181050,2779450,1
11585950,3566550,2
11573350,3611050,1
11586150,3521350,1
11586150,3536350,1
11605350,3551250,64
11586350,3546150,1
11599150,3555750,18
11656750,3484350,1
11599250,3553250,1
11605650,3555350,4
11727350,3494750,1
13097050,4725750,1
11612350,3605250,1
11574050,3577550,1
11612450,3573050,1
11587050,3560850,4
11606250,3556150,10
11580750,3557850,1
11600050,3574850,1
11600050,3557250,12
11728050,3496250,1
11542450,3680350,1
13078550,4689350,1
11933050,3537650,1
11581050,3557950,2
11593850,3558350,2
8976350,807150,1
11600450,3548750,1
11600450,3555950,13
11587750,3551950,1
12976550,4832650,1
11587850,3564950,2
11600850,3554750,16
11485750,3498550,1
11601050,3547350,31
11588350,3559050,1
11588350,3557650,1
13418750,3646350,1
11588650,3560450,3
11486350,3498750,1
11601650,3557150,31
11595250,3570450,1
11588950,3575050,1
11576250,3566450,1
11576250,3566650,1
11717050,3557650,2
11697850,3431250,1
11601950,3547750,4
11589250,3563050,7
11602050,3559350,1
11806850,3868250,1
11582950,3569250,1
11595750,3557250,3
11583050,3562950,1
11583050,3570650,2
11608650,3555550,17
11608650,3556850,21
11563950,3568850,1
11589550,3568950,1
11583150,3553150,2
11583150,3562450,1
12114650,4028850,1
11602850,3550950,1
11910150,3590250,1
11570950,3568950,1
11596550,3627250,1
11603050,3600050,1
11558250,3574750,1
11583850,3567050,2
11603150,3579750,1
11603150,3568950,1
11654350,3676250,2
11731150,3630050,1
12345550,4076550,2
11436850,3432350,1
13120150,4347250,1
11584150,3548550,1
11622550,3577850,1
12000150,3315650,2
12729750,4290450,1
11584250,3569250,1
11584250,3545150,1
11590650,3568350,1
11603450,3565850,1
11558750,3488650,1
11584350,3550350,1
11597150,3549450,1
12960350,4852050,1
11558850,3569450,1
11501250,3503750,1
11603650,3547150,7
11558950,3696750,1
11610150,3555850,10
11712550,3626250,1
11539950,3608250,1
13453650,3232650,1
11834450,3429250,1
11584950,3549750,1
11604150,3554650,4
11585150,3439950,1
11598050,3554450,15
11598050,3562650,1
11617250,3568450,1
13454150,3744550,2
12673350,2604050,1
11578950,3572450,1
13198250,4402850,1
11643150,3645250,1
11598450,3554750,1
11611250,3557950,3
11611450,3557650,7
11573150,3525250,1
11567050,3557150,1
11618250,3625550,1
11586350,3555350,2
11579950,3564850,2
11592750,3582950,1
11605550,3552550,29
11586550,3579850,1
12079350,3258650,1
11567450,3553950,1
11599550,3553350,4
11663650,3398150,1
11574150,3580650,1
11772550,3442950,1
11574250,3556350,1
11599850,3562050,2
11599850,3551150,1
11855850,3431550,1
11612750,3548250,1
12431950,3360650,2
11606450,3555650,137
11536150,3611050,1
11593750,3583850,3
12169750,4026350,1
11350550,3482150,1
11600250,3552250,1
11638650,3534350,1
11581250,3590250,1
11862850,3428450,1
11574950,3580450,1
11588050,3566850,1
11805650,3462450,1
11607250,3555750,5
11600950,3560150,2
11607350,3555350,32
11594650,3556050,2
11588350,3567350,1
11601150,3566750,1
11581950,3563850,2
11588450,3565750,1
11614050,3554550,1
11543650,3566550,1
11607650,3566050,2
11582150,3559450,1
11563050,3573250,2
11575850,3564550,1
11601450,3546950,1
9751850,5402450,1
11595150,3575850,1
11620750,3624450,2
11588850,3562350,1
11601650,3546550,6
11569650,3597450,2
11697650,3455550,1
11601750,3555550,1
11614650,3525750,1
12990650,4820750,1
11614750,3564550,3
11781250,3500350,1
11608450,3556250,34
11467650,3748650,1
13112550,4733650,1
11602250,3552250,7
11583050,3572450,1
11583050,3561050,1
11954250,2541350,1
11864750,3426650,1
11564050,3523150,1
11589650,3570450,1
11826450,3161850,1
11877650,3051350,1
12620050,2610650,1
11640950,2955550,1
11596150,3569850,1
11589850,3568050,1
11609050,3555350,49
11660250,3685250,1
11589950,3561950,1
11596350,3560850,3
11621950,3629350,2
11660350,3685550,1
11583650,3568150,1
11596550,3543550,2
11603250,3636450,2
11584150,3570950,1
11788950,3490350,1
11488150,3499550,1
11590550,3562550,1
11609850,3552550,1
11814750,3835850,1
11603550,3551650,2
13107650,4731750,1
11859650,3414050,1
11597450,3561550,1
11603950,3558550,4
11603950,3548550,1
11591250,3578350,2
11418550,2852750,1
11604150,3561050,2
11610850,3557350,28
11406050,2850150,1
11969350,3013350,1
11585450,3553550,1
11624050,3630850,2
11675250,3609850,1
11585750,3563250,2
11662550,3397950,1
13057750,4705350,1
11656150,3607450,1
11585850,3560850,2
11598750,3555550,3
11733250,3507050,1
11586150,3539650,1
11586150,3522350,1
11586150,3523150,1
11605350,3556050,51
11579850,3590650,2
11599150,3585650,1
11605550,3581550,1
11586450,3565650,1
12546450,4509450,1
11599350,3552150,5
11605750,3551850,1
11541850,3617750,1
11599550,3557450,9
11650850,3497250,1
11586950,3568150,2
11586950,3550450,1
11599850,3554950,2
11638250,3535150,2
11600050,3587650,1
11593650,3591550,1
11606450,3555550,97
11638550,3531650,2
13430550,3647850,1
11580950,3570350,1
11593750,3564450,4
10147350,3441050,1
11549050,3430650,2
11600250,3549050,1
11606650,3552750,70
11606650,3551050,3
11862650,3436050,1
11581150,3563550,1
11389150,3146950,1
11587650,3570150,1
11638850,3534650,1
11664450,3398950,2
11594050,3584050,1
11606850,3551850,22
11587750,3549850,1
11600550,3556050,13
11696550,3521450,1
11786150,3797550,1
11536750,3609550,1
11549550,3625150,1
11479150,3491850,1
11472850,3488550,1
12144850,4035050,1
11575350,3581450,1
11600950,3558650,1
11600950,3570650,1
11754550,3547550,1
12957750,4823550,1
11581750,3579450,1
11607350,3553450,3
12567350,3314250,1
11626650,3326350,1
11601350,3550550,1
12676550,2567950,1
12689350,2563250,1
11575850,3571750,1
11601450,3547950,3
12599850,3209650,1
13086350,4691650,1
11633550,3653350,1
11563250,3535350,1
11595250,3585450,1
11595250,3581050,2
11582550,3567950,1
11787350,3796750,1
11601850,3546950,1
11685050,3335350,1
11569950,3597650,1
11582750,3563250,2
11595550,3561750,1
11608350,3556150,52
11781250,3796150,1
11563750,3568550,1
11576550,3580650,1
11576650,3559550,2
13471050,3645850,1
11647050,3493150,1
11563950,3558450,1
11467950,3485250,1
11576850,3566350,1
11653750,3617950,1
11583350,3552550,1
11589850,3572550,1
11609050,3555850,71
12633050,2515750,1
11609150,3558650,1
11737150,3335550,1
11615650,3614650,1
11660650,3686150,1
11814450,3835750,1
11577750,3564550,1
11808250,3594450,1
11411450,2884950,1
11705950,3621050,1
11584450,3567450,5
11597250,3572350,1
11968450,3638850,1
11603650,3552250,1
13088450,4701950,1
12685350,2564150,1
11597450,3557450,3
11591150,3580450,1
11603950,3565950,2
11674450,3610050,1
11591250,3516950,1
11597850,3558250,1
11610650,3555350,1
11578650,3556650,5
11585150,3549450,4
11597950,3520150,3
11559750,3572350,2
11041350,2872550,1
11476650,3490150,1
11604650,3555650,1
11598350,3550350,1
11636750,3537750,1
11572850,3380750,1
11611250,3560950,1
13089650,4720550,1
11611350,3559150,1
11573050,3583650,1
11969850,3640350,1
11592250,3564250,1
11733050,3710650,1
11611550,3559550,1
11752350,3551650,1
11605150,3556550,1
11586050,3566350,1
11605250,3555650,15
11586150,3537850,1
13102950,4706550,1
11637550,3529250,1
11554350,3641650,1
11554450,3539150,1
11586550,3553550,1
12674550,2615650,1
12719350,3097450,1
11593050,3664050,2
11849250,3459950,1
11599850,3556350,33
12662250,4102750,1
11382250,2855150,1
11657450,3285750,1
11599950,3556250,35
11612750,3597750,1
11939150,3729950,1
11600050,3556450,2
11593650,3569850,1
12547350,4518950,1
11600250,3551650,1
11581150,3575650,1
11606750,3552350,50
11811550,3835650,1
12425950,3472550,1
11594050,3543450,1
11606850,3552550,52
11389250,3132750,1
11600550,3557250,3
11606950,3603350,1
11600650,3573650,1
11306250,4366250,1
11600750,3547650,8
11594350,3561250,1
11594350,3472850,1
11594350,3563550,3
11607150,3552250,7
11351150,3485650,1
13028150,3259250,1
11671450,3609950,1
11402650,2849150,1
13214050,3733850,1
11434850,2861150,1
11594850,3557850,1
11607650,3553250,100
11588550,3549850,1
11601350,3547650,2
11601450,3549450,1
11492650,3502150,1
11569450,3583550,1
11607850,3556750,1
13463850,3655450,1
11780950,3798850,1
12529850,4538450,1
12881950,3299850,1
11608450,3596650,1
11448550,2850850,1
11582950,3566450,1
11800550,3476050,1
11627850,3517250,1
11698350,3431450,1
11576850,3579350,1
11596050,3570950,1
11608850,3565850,1
11570550,3610350,2
11583450,3566850,2
11596250,3578650,1
11762750,3522450,1
13420550,3653550,1
11590250,3566550,1
11590250,3569150,2
11615850,3572750,2
11718250,3556950,1
11583950,3569350,1
11596850,3533150,1
11603250,3556450,4
11558550,3581350,1
11584150,3586150,1
11603350,3555050,1
11692950,3519050,1
11808250,3581350,1
11597150,3572550,2
11584450,3556650,2
11597250,3627650,1
11565250,3586750,1
11590950,3555450,1
11584650,3565450,2
11776650,3505750,1
11661650,3298750,1
11853750,3427050,4
11578550,3568950,2
11604150,3552450,4
11604150,3545150,1
13088950,4712750,1
11540250,3612150,1
13089050,4713350,1
11585150,3545150,1
11585250,3555750,2
11783650,3507550,1
11598250,3553750,2
11649450,3526450,1
11879850,3062550,1
11604750,3556150,16
13147250,2809350,1
11400050,3268350,1
12865850,3292550,1
13083450,4689650,1
11976350,3046950,1
12072450,2593050,1
11592650,3569550,1
11599150,3558350,12
11490350,3515050,1
11541550,3539350,1
11823250,3269250,1
13109750,4733150,1
13295350,4829150,1
11535550,3609250,1
11586750,3566150,1
11810750,3543750,2
11580450,3568350,3
11753350,3543150,1
11394950,4257850,1
11587050,3560750,3
11574350,3588050,1
11593650,3574850,1
11696150,3432150,1
11587550,3568550,2
11638750,3534450,1
13904350,5848050,1
12035650,3483150,1
13942950,5409450,2
11965350,3056450,1
11607050,3553150,44
11600750,3557150,89
11581550,3571550,1
11607150,3553150,39
11588050,3555550,2
11607250,3553050,17
11600950,3546950,7
11652150,3603050,1
12599350,2671050,2
11607350,3552550,10
11581850,3565150,1
11645950,3505050,1
12887550,3309850,1
11338850,3048050,1
13111850,4733650,1
11614250,3564750,1
11332650,4361250,1
11607850,3553250,34
11601550,3546450,3
11646350,3328850,1
11697550,3433150,1
11601750,3549050,1
11646550,3503550,1
11576450,3572850,1
11794050,3480550,1
11896450,3277650,1
11595650,3566050,2
11576550,3561150,1
11602150,3557650,2
11384550,3213250,1
12581350,3253950,1
13003750,4777250,1
11589450,3573050,2
11704650,3483350,1
11583050,3568550,1
11736650,3313650,1
11800750,3681950,1
11621650,3578650,1
11698450,3320150,2
11992850,3657350,1
12991250,4886050,1
11640950,3419250,1
11448950,3445650,1
11557750,3405350,1
11596150,3569550,2
11602650,3560250,3
11583550,3540450,1
11583550,3561150,1
11583550,3545050,1
11801150,3682650,1
12927550,4074250,1
11193250,1535850,1
11583650,3575950,1
13554850,3625050,1
12953250,4817050,1
11596550,3556650,4
11609350,3589150,1
11654250,3616150,1
11769450,3515050,1
11596650,3556750,1
11967950,3637350,1
11603250,3549350,5
11590550,3565250,1
11769750,3514250,1
11584250,3567150,1
11590650,3577650,1
11590650,3568150,1
11603650,3549150,4
11603750,3548850,1
13088550,4699850,1
11597450,3552550,2
11591150,3559350,1
11572050,3603050,3
11584850,3575750,2
11584850,3564450,1
11642450,3555650,1
11584950,3556650,1
11572250,3545650,1
11418650,2852850,1
12705150,2561850,1
12673450,2603650,1
13089550,4720050,1
13108850,4732750,1
11572850,3563650,1
13038550,4704850,1
11585950,3558150,1
11797150,3687150,1
11694850,3429950,1
11534950,3674650,1
11586150,3526650,1
11560650,3572150,1
11586250,3574550,1
11579850,3557050,3
13090250,4722450,1
11573750,3564850,1
11580450,3568450,1
11606050,3549850,4
11587050,3562750,1
11606250,3555550,68
11599950,3554950,1
11612750,3560650,1
11587250,3566750,1
11702450,3618650,1
11568050,3561250,1
11587350,3579650,1
11593850,3585850,2
11600350,3556350,163
11587650,3555050,1
11600450,3558450,2
11594050,3559350,2
11606850,3555050,59
11606850,3555850,37
12656550,3645450,1
11613450,3573850,1
11607050,3551750,32
11600750,3547350,32
11600750,3556750,21
11607150,3555850,16
13079150,4689450,1
11639250,3532450,1
11658450,3479150,1
11575350,3570250,1
11594550,3561550,1
11594550,3486250,1
11594550,3563050,1
11786550,3009450,2
11601150,3547650,18
11582050,3544250,1
11601350,3550750,2
10129350,3438350,1
11620550,3573850,1
11614350,3564850,1
11607950,3554350,9
11691450,3614950,1
12555550,2527250,1
11576450,3554750,1
11486950,3498950,1
11768650,3516150,1
11935150,3577250,1
12127150,4023450,1
11583150,3555150,1
11589650,3575050,2
12108050,4064350,1
11487350,3499150,1
11960950,3054350,1
11596150,3567650,3
11820250,3842350,1
11647450,3362750,1
11583550,3562850,2
11609350,3555050,57
11609350,3555950,50
11577550,3560150,1
11603150,3558750,1
11865550,3426050,1
11609750,3555850,2
11609850,3556050,1
11603550,3552350,3
11936350,3577250,1
12640350,2621350,1
12704350,2561250,1
11597250,3554450,1
11610050,3555650,25
11693250,3517950,3
11974850,3043250,1
11597450,3504050,1
11603850,3550150,3
11584750,3566650,1
12864750,3292550,1
11565550,3570450,1
11603950,3549250,3
11584850,3549950,1
11623250,3593750,1
11655250,3614750,1
11405750,2849950,1
11604150,3554250,1
11783450,3497450,1
11649150,3526750,1
11598150,3546750,1
12692550,2623250,2
11585450,3546150,1
11764650,3520550,1
11694250,3165250,1
11598350,3552650,2
11604750,3550950,1
11585650,3562350,1
11713650,3626850,1
11572950,3555450,1
11649850,3499950,1
11752350,3551750,1
11605150,3547650,4
11605150,3556150,10
11586050,3542750,1
11586150,3531250,1
11541350,3564750,1
11579750,3569450,2
11560750,3492450,1
11650450,3497650,2
11592850,3564450,6
13308050,3660150,1
11599350,3559850,2
11330650,3054450,1
11580250,3581250,1
11593050,3582150,2
11612450,3500350,1
11606050,3558050,4
11593350,3574150,1
11599850,3555250,54
11868750,2722650,1
13359950,4324350,1
11561650,3522650,1
11612850,3565650,2
11651250,3496150,1
11580850,3570350,1
11606450,3557150,5
13283250,2994850,1
11587350,3567050,1
11804950,3868150,1
11644950,3504450,1
11606650,3553450,4
11600350,3560550,2
11606750,3551550,34
11574850,3583350,1
11600450,3559750,1
12163650,4031450,1
11434050,2861050,1
11600550,3551950,3
11664550,3401350,1
11581350,3575250,1
11607050,3555350,1
11600750,3548350,2
11626350,3465950,1
11581550,3553650,1
12119250,4031050,1
11594550,3550150,1
11696950,3616250,1
11805950,3833350,1
11863550,3421950,1
11959650,3053650,1
12682950,2558050,1
11601450,3551450,1
11607850,3558850,1
11588750,3566050,1
11601750,3556650,2
11576250,3565050,1
11909050,3590750,1
11589150,3563150,1
11480350,3492550,1
11595550,3553850,2
11608350,3575950,1
11589250,3565750,2
11909250,3590450,1
11582850,3553150,1
